logic_id,logic_name,family,core_formula,primary_data,fmp_source,priority,engine_fit
L001,trend_tstat_126,price_trend,"tstat(slope(log(close),126))",ohlcv,price_history,P0,requires_signal_impl
L002,residual_mom_12_1,price_trend,"residual_return(252,21,vs=SPY)",ohlcv+benchmark,price_history,P0,requires_signal_impl
L003,idio_mom_vs_sector,price_trend,"residual_return(vs_sector_etf,126,21)",ohlcv+sector_map,price_history+profiles,P1,requires_signal_impl
L004,high_52w_proximity,price_trend,"close/rolling_max(close,252)",ohlcv,price_history,P0,requires_signal_impl
L005,breakout_persistence,price_trend,"(close-max252)/atr20",ohlcv,price_history,P0,requires_signal_impl
L006,pullback_in_uptrend,price_trend,"z((close-ma20)/ma20) within ma50>ma200",ohlcv,price_history,P0,requires_signal_impl
L007,momentum_crash_adjusted,price_trend,"mom_12_1*(1-tail_risk_21)",ohlcv,price_history,P0,requires_signal_impl
L008,overnight_drift_63,price_trend,"sum(log(open_t/close_t-1),63)",ohlcv,price_history,P0,requires_signal_impl
L009,gap_fill_propensity,price_trend,"-z(gap/open_to_prev_close,20)",ohlcv,price_history,P1,requires_signal_impl
L010,range_followthrough,price_trend,"z((high-low)/close,20)*sign(ret5)",ohlcv,price_history,P1,requires_signal_impl
L011,st_reversal_liquidity_filtered,reversal,"-sum(ret1,5)*I(adv20>threshold)",ohlcv+volume,price_history,P0,requires_signal_impl
L012,extreme_reversal_ex_earnings,reversal,"-ret1*I(|ret1|>p95 and no_recent_earnings)",ohlcv+earnings_calendar,price_history+earnings_calendar,P0,requires_signal_impl
L013,intraday_reversion_proxy,reversal,"-sum((close-open)/open,10)",ohlcv,price_history,P1,requires_signal_impl
L014,post_spike_cooldown,reversal,"-ret1*I(volume_z>2)",ohlcv+volume,price_history,P0,requires_signal_impl
L015,overreaction_volume_adjusted,reversal,"-ret3/(1+volume_z20)",ohlcv+volume,price_history,P1,requires_signal_impl
L016,failed_breakout_reversal,reversal,"-(close-max20)/atr20 where close<max20",ohlcv,price_history,P1,requires_signal_impl
L017,compression_reversal,reversal,"-ret5*I(std20<std120)",ohlcv,price_history,P1,requires_signal_impl
L018,skew_reversal,reversal,"-ret2*I(skew20<0)",ohlcv,price_history,P1,requires_signal_impl
L019,three_red_days_rebound,reversal,"I(3down)*next_rebound_score",ohlcv,price_history,P2,requires_signal_impl
L020,large_gap_reversal,reversal,"-gap*I(|gap|>p90)",ohlcv,price_history,P1,requires_signal_impl
L021,amihud_illiquidity_20,liquidity,"mean(|ret1|/dollar_volume,20)",ohlcv+volume,price_history,P0,requires_signal_impl
L022,amihud_improving,liquidity,"-delta(amihud20,20)",ohlcv+volume,price_history,P0,requires_signal_impl
L023,turnover_shock_20_120,liquidity,"log(adv20/adv120)",ohlcv+volume,price_history,P0,runnable_now
L024,turnover_spike_decay,liquidity,"-delta(log(adv20/adv120),5)",ohlcv+volume,price_history,P1,requires_signal_impl
L025,dollar_volume_trend,liquidity,"slope(log(adv20),63)",ohlcv+volume,price_history,P1,requires_signal_impl
L026,illiq_size_interaction,liquidity,"z(amihud20)*z(-mktcap)",ohlcv+volume+mktcap,price_history+market_cap_history,P0,requires_signal_impl
L027,flow_autocorr_20,liquidity,"autocorr(ret1*volume,20)",ohlcv+volume,price_history,P1,requires_signal_impl
L028,crowding_turnover_x_inst,liquidity,"z(turnover_shock)+z(inst_ownership_pct)",volume+institutional_holders,price_history+institutional_holders,P0,requires_signal_impl
L029,liquidity_regime_score,liquidity,"z(turnover_shock)-z(amihud20)",ohlcv+volume,price_history,P0,requires_signal_impl
