logic_id,logic_name,family,core_formula,primary_data,fmp_source,priority,engine_fit,dedup_vs_batchA
B001,autocorr_reversal_5,microstructure,"-autocorr(ret1,5)",ohlcv,price_history,P0,requires_signal_impl,new short-memory mean reversion
B002,close_location_value,microstructure,"(close-low)/(high-low)",ohlcv,price_history,P1,requires_signal_impl,not in BatchA
B003,true_range_expansion,microstructure,"z(tr/atr20)",ohlcv,price_history,P1,requires_signal_impl,distinct volatility-shock feature
B004,volume_clock_imbalance,microstructure,"z(vol_today/vol_20)-z(abs(ret1))",ohlcv+volume,price_history,P1,requires_signal_impl,new flow-time proxy
B005,price_acceleration_20,microstructure,"ret20-ret60/3",ohlcv,price_history,P0,requires_signal_impl,new acceleration logic
B006,return_entropy_inverse,microstructure,"-entropy(sign(ret1),63)",ohlcv,price_history,P2,requires_signal_impl,new path-complexity logic
B007,high_low_asymmetry,microstructure,"(high-close)-(close-low)",ohlcv,price_history,P1,requires_signal_impl,new intraday pressure proxy
B008,trend_efficiency_ratio,microstructure,"abs(close_t-close_t-20)/sum(abs(diff(close)),20)",ohlcv,price_history,P1,requires_signal_impl,new trend quality metric
B009,vol_breakout_follow,microstructure,"ret1*I(vol_z20>2)",ohlcv+volume,price_history,P0,requires_signal_impl,diff from post_spike_cooldown sign/conditioning
B010,liquidity_hole_rebound,microstructure,"-ret1*I(dollar_vol<q20)",ohlcv+volume,price_history,P1,requires_signal_impl,new capacity-state reversal
B011,overnight_gap_persistence,overnight,"sum(gap,5)",ohlcv,price_history,P1,requires_signal_impl,different from 63d overnight drift horizon
B012,overnight_intraday_spread,overnight,"sum(overnight)-sum(intraday),20",ohlcv,price_history,P1,requires_signal_impl,new decomposition logic
B013,monday_overnight_anomaly,overnight,"avg(gap_monday,52w)",ohlcv+calendar,price_history,P2,requires_signal_impl,new calendar-overnight logic
B014,pre_holiday_drift,overnight,"ret_pre_holiday_mean",ohlcv+calendar,price_history,P2,requires_signal_impl,new calendar effect
B015,open_auction_stress_proxy,overnight,"abs(open-prev_close)/atr20",ohlcv,price_history,P1,requires_signal_impl,new auction stress
B016,close_to_open_reversal,overnight,"-gap_t*I(sign(gap_t)=sign(gap_t-1))",ohlcv,price_history,P1,requires_signal_impl,new conditional reversal
B017,overnight_tail_balance,overnight,"q95(gap,63)+q05(gap,63)",ohlcv,price_history,P2,requires_signal_impl,new asymmetry state
B018,overnight_seasonality_month,overnight,"mean(gap, month_bucket)",ohlcv+calendar,price_history,P2,requires_signal_impl,new seasonality lens
B019,open_drive_breakout,overnight,"I(gap>q90 and close>open)",ohlcv,price_history,P1,requires_signal_impl,new continuation event
B020,gap_fill_speed_proxy,overnight,"-(close-open)/abs(open-prev_close)",ohlcv,price_history,P1,requires_signal_impl,distinct from gap zscore
B021,amihud_term_structure,liquidity,"amihud20/amihud120",ohlcv+volume,price_history,P0,requires_signal_impl,new liquidity curve
B022,dollar_volume_convexity,liquidity,"d2(log(adv20),5)",ohlcv+volume,price_history,P1,requires_signal_impl,new higher-order flow
B023,turnover_residual_vs_sector,liquidity,"turnover_z - sector_turnover_z",ohlcv+volume+sector,price_history+company_profiles,P1,requires_signal_impl,new sector-neutral flow
B024,liquidity_drawdown,liquidity,"-max_drawdown(dollar_vol,126)",ohlcv+volume,price_history,P1,requires_signal_impl,new liquidity risk
